0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:16:57 +0530] "POST /Exam1/TermsServlet HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:16:59 +0530] "GET /Exam1/questions.jsp HTTP/1.1" 200 7278
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:16:59 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 1241
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:16:59 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 1241
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:17:13 +0530] "POST /Exam1/QuestionServlet HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:17:14 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 1241
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:17:15 +0530] "GET /Exam1/profile.jsp HTTP/1.1" 200 14785
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:17:15 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 1241
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:21:30 +0530] "GET /Exam1/SubjectServlet?cid=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:21:30 +0530] "GET /Exam1/termsandcondition.jsp HTTP/1.1" 200 3865
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:21:30 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 1241
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:21:32 +0530] "POST /Exam1/TermsServlet HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:21:34 +0530] "GET /Exam1/questions.jsp HTTP/1.1" 200 8045
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:21:34 +0530] "GET /Exam1/js/myjs.js HTTP/1.1" 404 1241
0:0:0:0:0:0:0:1 - - [16/Dec/2021:15:22:02 +0530] "POST /Exam1/QuestionServlet HTTP/1.1" 200 4010
